strategy,run_id,length,steps
astar,180,82,1142
astar,181,51,640
astar,182,70,1030
astar,183,55,766
astar,184,56,712
astar,185,44,624
astar,186,63,907
astar,187,97,1354
astar,188,72,995
astar,189,73,1093
astar,190,71,970
astar,191,84,1195
astar,192,52,646
astar,193,84,1273
astar,194,69,1074
astar,195,40,486
astar,196,52,696
astar,197,51,625
astar,198,41,522
astar,199,67,809
astar,200,51,728
